2317239	15358
427154	491905
427154	492480
491905	492480
44900	427154
44900	491905
44900	492480
28524	427154
28524	491905
28524	492480
28524	44900
45692	427154
45692	491905
45692	492480
44900	45692
28524	45692
45821	1281350
45692	1281350
45692	45821
45822	1281350
45821	45822
45692	45822
45068	1281350
45068	45821
45068	45692
45068	45822
124113	1281351
45692	1281351
45692	124113
170762	1281351
124113	170762
45692	170762
72468	1281351
72468	124113
45692	72468
72468	170762
157440	1281351
124113	157440
45692	157440
157440	170762
72468	157440
154355	271124
45142	1281354
1281354	1281355
45142	1281355
29446	492099
29446	214682
214682	492099
611293	1200122
158408	1200122
158408	611293
277616	1200122
277616	611293
158408	277616
1281361	1281362
748285	1281361
748285	1281362
72064	1281361
72064	1281362
72064	748285
400552	1281361
400552	1281362
400552	748285
72064	400552
162609	213886
162609	213885
213885	213886
162609	276529
213886	276529
213885	276529
296349	823702
12596	823702
12596	296349
491669	823702
296349	491669
12596	491669
18510	45013
18510	44658
44658	45013
270054	589751
822	589751
822	270054
277179	1023988
224528	703815
128628	224528
128628	703815
224528	1281364
703815	1281364
128628	1281364
224528	1281365
703815	1281365
128628	1281365
1281364	1281365
44723	44919
44723	45070
44919	45070
44723	44992
44919	44992
44992	45070
44723	44724
44724	44919
44724	45070
44724	44992
215497	241262
241262	271124
215497	271124
241262	271200
215497	271200
271124	271200
17296	388057
44992	139984
492453	576349
16757	492453
16757	576349
95509	146521
146521	494949
95509	494949
146521	1281370
95509	1281370
494949	1281370
23121	146521
23121	95509
23121	494949
23121	1281370
43649	146521
43649	95509
43649	494949
43649	1281370
23121	43649
270509	271712
238802	271712
238802	270509
271712	848958
270509	848958
238802	848958
236314	271712
236314	270509
236314	238802
236314	848958
491988	493379
493379	1281371
491988	1281371
91397	493379
91397	491988
91397	1281371
227288	495032
227288	278234
278234	495032
495374	1281372
495375	1281372
495374	495375
420410	1281372
420410	495374
420410	495375
46008	145278
145278	289092
46008	289092
288740	491406
288740	389082
389082	491406
63198	288740
63198	491406
63198	389082
33857	288740
33857	491406
33857	389082
33857	63198
284856	288740
284856	491406
284856	389082
63198	284856
33857	284856
276847	1281373
214873	276847
214873	1281373
327755	494857
278807	494857
278807	327755
327756	494857
327755	327756
278807	327756
279075	494857
279075	327755
278807	279075
279075	327756
494857	555487
327755	555487
278807	555487
327756	555487
279075	555487
28526	31089
45068	1281388
161584	1281388
45068	161584
45692	1281388
45692	161584
44660	46246
45167	46246
44660	45167
45168	46246
44660	45168
45167	45168
46246	46248
44660	46248
45167	46248
45168	46248
59680	270969
59680	146697
146697	270969
240747	539987
85425	240747
85425	539987
275665	492481
241262	492481
241262	275665
274526	492481
274526	275665
241262	274526
1294	492481
1294	275665
1294	241262
1294	274526
274452	278807
2133	278807
2133	274452
491749	494788
254100	494788
254100	491749
45039	494788
45039	491749
45039	254100
90662	707820
59658	1281396
832181	1281396
59658	832181
270031	1281396
59658	270031
270031	832181
32675	1281396
32675	59658
32675	832181
32675	270031
44705	44907
111238	271810
271810	320356
111238	320356
191481	271810
111238	191481
191481	320356
45556	491415
18510	18511
92512	149701
149701	274526
92512	274526
149701	275665
92512	275665
1294	149701
1294	92512
149701	241262
92512	241262
288951	495520
63198	495520
63198	288951
273413	495520
273413	288951
63198	273413
495520	1281397
288951	1281397
63198	1281397
273413	1281397
274235	274236
57349	274235
57349	274236
272317	278984
165892	272317
165892	278984
72840	272317
72840	278984
72840	165892
72426	312815
60452	91154
822	60452
822	91154
42034	60452
42034	91154
822	42034
271769	275652
202016	271769
202016	275652
152508	271769
152508	275652
152508	202016
213929	271769
213929	275652
202016	213929
152508	213929
